pharmacist	apotheker	apothekerin
analyst	analyst	analystin
student	student	studentin
carpenter	zimmermann	zimmerfrau
advisee	ratsuchender	ratsuchende
broker	makler	maklerin
bystander	zuschauer	zuschauerin
lawyer	anwalt	anwältin
salesperson	verkäufer	verkäuferin
examiner	prüfer	prüferin
buyer	käufer	käuferin
engineer	ingenieur	ingenieurin
secretary	sekretär	sekretärin
accountant	buchhalter	buchhalterin
programmer	programmierer	programmiererin
chef	koch	köchin
client	kunde	kundin
dispatcher	disponent	disponentin
cashier	kassierer	kassiererin
counselor	berater	beraterin
guest	gast	gästin
passenger	fahrgast	fahrgästin
technician	techniker	technikerin
homeowner	hausbesitzer	hausbesitzerin
owner	besitzer	besitzerin
supervisor	vorgesetzter	vorgesetzte
machinist	maschinist	maschinistin
educator	pädagoge	pädagogin
painter	maler	malerin
teacher	lehrer	lehrerin
firefighter	feuerwehrmann	feuerwehrfrau
protester	demonstrant	demonstrantin
auditor	revisor	revisorin
paramedic	rettungssanitäter	rettungssanitäterin
clerk	angestellter	angestellte
cleaner	reiniger	reinigerin
inspector	inspektor	inspektorin
dietitian	diätassistent	diätassistentin
chemist	chemiker	chemikerin
onlooker	zuschauer	zuschauerin
guard	wächter	wächterin
writer	schriftsteller	schriftstellerin
employee	angestellter	angestellte
nurse	krankenpfleger	krankenschwester
assistant	assistent	assistentin
planner	planer	planerin
investigator	ermittler	ermittlerin
paralegal	rechtsanwaltsgehilfe	rechtsanwaltsgehilfin
doctor	doktor	doktorin
architect	architekt	architektin
physician	arzt	ärztin
driver	fahrer	fahrerin
teenager	teenager	teenagerin
advisor	berater	beraterin
witness	zeuge	zeugin
tailor	schneider	schneiderin
electrician	elektriker	elektrikerin
psychologist	psychologe	psychologin
chief	chef	chefin
designer	designer	designerin
cook	koch	köchin
worker	arbeiter	arbeiterin
nutritionist	ernährungsberater	ernährungsberaterin
sheriff	sheriff	sheriffin
victim	opfer	opfer
janitor	hausmeister	hausmeisterin
patient	patient	patientin
manager	manager	managerin
ceo	ceo	ceo
therapist	therapeut	therapeutin
construction worker	bauarbeiter	bauarbeiterin
bartender	barkeeper	barkeeperin
receptionist	rezeptionist	rezeptionistin
resident	bewohner	bewohnerin
scientist	wissenschaftler	wissenschaftlerin
mechanic	mechaniker	mechanikerin
taxpayer	steuerzahler	steuerzahlerin
instructor	ausbilder	ausbilderin
appraiser	gutachter	gutachterin
hairdresser	friseur	friseurin
librarian	bibliothekar	bibliothekarin
pedestrian	fußgänger	fußgängerin
farmer	bauer	bäuerin
practitioner	praktiker	praktikerin
child	kind	kind
hygienist	hygieniker	hygienikerin
pathologist	pathologe	pathologin
editor	redakteur	redakteurin
someone	jemand	jemand
visitor	besucher	besucherin
customer	kunde	kundin
officer	beamter	beamtin
laborer	arbeiter	arbeiterin
mover	umzugshelfer	umzugshelferin
administrator	administrator	administratorin
surgeon	chirurg	chirurgin
undergraduate	student	studentin
housekeeper	haushälter	haushälterin
veterinarian	tierarzt	tierärztin
baker	bäcker	bäckerin
developer	entwickler	entwicklerin
attendant	betreuer	betreuerin
plumber	klempner	klempnerin
specialist	spezialist	spezialistin
