profession	male	female
pharmacist	farmacéutico	farmacéutica
pharmacist	farmacutico	farmacutica
analyst	analista	analista
student	estudiante	estudiante
carpenter	carpintero	carpintera
advisee	asesor	asesora
broker	broker	broker
bystander	observador	observadora
lawyer	abogado	abogada
salesperson	vendedor	vendedora
examiner	examinador	examinadora
buyer	comprador	compradora
engineer	ingeniero	ingeniera
secretary	secretario	secretaria
accountant	contable	contable
programmer	programador	programadora
chef	cocinero	cocinera
client	cliente	cliente
dispatcher	despachador	despachadora
cashier	cajero	cajera
counselor	consejero	consejera
guest	invitado	invitada
passenger	pasajero	pasajera
technician	técnico	técnica
technician	tcnico	tcnica
homeowner	propietario	propietaria
owner	dueño	dueña
owner	dueo	duea
supervisor	supervisor	supervisora
machinist	mecánico	mecánica
machinist	mecnico	mecnica
educator	educador	educadora
painter	pintor	pintora
teacher	maestro	maestra
firefighter	bombero	bombera
protester	manifestante	manifestante
auditor	auditor	auditora
paramedic	paramédico	paramédica
paramedic	paramdico	paramdica
clerk	empleado	empleada
cleaner	limpiador	limpiadora
inspector	inspector	inspectora
dietitian	dietista	dietista
chemist	químico	química
chemist	qumico	qumica
onlooker	observador	observadora
guard	guardia	guardia
writer	escritor	escritora
employee	empleado	empleada
nurse	enfermero	enfermera
assistant	asistente	asistente
planner	planificador	planificadora
investigator	investigador	investigadora
paralegal	paralegal	paralegal
doctor	doctor	doctora
architect	arquitecto	arquitecta
physician	médico	médica
physician	mdico	mdica
driver	conductor	conductora
teenager	adolescente	adolescente
advisor	asesor	asesora
witness	testigo	testigo
tailor	sastre	sastre
electrician	electricista	electricista
psychologist	psicólogo	psicóloga
psychologist	psiclogo	psicloga
chief	jefe	jefa
designer	diseñador	diseñadora
designer	diseador	diseadora
cook	cocinero	cocinera
worker	trabajador	trabajadora
nutritionist	nutricionista	nutricionista
sheriff	sheriff	sheriff
victim	víctima	víctima
victim	vctima	vctima
janitor	conserje	conserje
patient	paciente	paciente
manager	gerente	gerente
ceo	ceo	ceo
therapist	terapeuta	terapeuta
construction worker	obrero	obrera
bartender	camarero	camarera
receptionist	recepcionista	recepcionista
resident	residente	residente
scientist	científico	científica
scientist	cientfico	cientfica
mechanic	mecánico	mecánica
mechanic	mecnico	mecnica
taxpayer	contribuyente	contribuyente
instructor	instructor	instructora
appraiser	tasador	tasadora
hairdresser	peluquero	peluquera
librarian	bibliotecario	bibliotecaria
pedestrian	peatón	peatón
pedestrian	peatn	peatn
farmer	agricultor	agricultora
practitioner	practicante	practicante
child	niño	niña
child	nio	nia
hygienist	higienista	higienista
pathologist	patólogo	patóloga
pathologist	patlogo	patloga
editor	editor	editora
someone	alguien	alguien
visitor	visitante	visitante
customer	cliente	cliente
officer	oficial	oficial
laborer	obrero	obrera
mover	transportista	transportista
administrator	administrador	administradora
surgeon	cirujano	cirujana
undergraduate	estudiante universitario	estudiante universitaria
housekeeper	ama de llaves	ama de llaves
veterinarian	veterinario	veterinaria
baker	panadero	panadera
developer	desarrollador	desarrolladora
attendant	encargado	encargada
plumber	fontanero	fontanera
specialist	especialista	especialista
